title,release_date,norm_text,poster_path
4 for Texas,1963-12-25,1870 rival businessman zack thomas joe jarrett stagecoach head galveston texas pull protect $ 100000 outlaw name matson galveston rivalry continue thomas join elya carlson jarret maxine richter matson loose scheme banker threaten thomas jarrett casino riverboat Comedy Western,/A6QG1AB1KTo692IbnHz30dc0wNE.jpg
40 Carats,1973-06-28,overnight fle man nearly 20 year junior vacation greece ann stanley return new york assume peter latham show doorstep daughter party despite yearning peter encouragement friend family ann initially rebuff pursue slowly yield charm stifled emotion greece old woman young man relationship Comedy Romance,/oXq3PC46jEr1VRkdpiEruHKqdjT.jpg
40 Days and 40 Nights,2002-03-01,matt sullivan big relationship end disaster heart ache commitment lack come lent time year everybody give matt decide man go vow sex whatsoever 40 straight day control woman dream erica walk life celibacy sex addiction laundromat rape male break commitment sex comedy vow celibacy Comedy Romance,/8bs30y2UzytXglgG6SLpP3N920J.jpg
40 Guns to Apache Pass,1967-05-01,apaches warpath army defend murphy mission shipment rifle steal greedy white trader help mutinous soldier apache nation rifle Western,/jyIw7iw40epEMCOilkdrAH5trks.jpg
42,2013-04-12,powerful story jackie robinson legendary baseball player break major league baseball color barrier join roster brooklyn dodgers film follow innovative dodgers general manager branch rickey mlb executive sign robinson minor help bring baseball biography sport racial segregation racial tension racial prejudice brooklyn dodger 1940 Drama,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg
42nd Street,1933-03-11,producer put broadway moment chorus girl replace star philadelphia pennsylvania musical stage director break ankle dog chorus line broadway pre code faint chorus girl opening night crutch theatrical backer eviction producer chorine plaster cast financial crisis sock jaw Comedy Music Romance,/bcXT1q4JKqAlCjUadLx0pNGoyJR.jpg
45 Years,2015-08-04,week kate mercer 45th wedding anniversary planning party go letter arrive husband body love discover frozen preserve icy glacier swiss alps time party day later marriage leave celebrate dance break engagement husband wife relationship pregnancy marriage promise family secret german shepherd jewelry store base short story dead lover apology slide projector old woman anniversary piano cry man Drama Romance,/8elIJYYXWq2HpcZ6TgVMC9EwTnn.jpg
47 Meters Down,2017-05-25,sister mexican vacation trap shark observation cage ocean oxygen run low great white circle nearby hour air leave figure surface diving sible relationship shark attack cage creature shark trap underwater   Horror Drama Thriller,/lMcsEOcd6crzfF0pjsGkO5Pq01t.jpg
47 Meters Down: Uncaged,2019-08-15,teenage girl diving adventure explore submerge mayan city inside rush excitement turn jolt terror discover sunken ruin hunting ground deadly great white shark air supply steadily dwindle friend navigate underwater labyrinth claustrophobic cave eerie tunnel search way watery hell diving mexico shark attack altar animal attack maya civilization water monster sequel scuba diving teenage girl creature underwater shark great white shark ruin eat animal cave diving Horror Drama Adventure,/g4z7mDmJmx23vsVg6XNWcnXb6gc.jpg
47 Ronin,2013-12-06,kai outcast join oishi leader 47 outcast samurai   seek vengeance treacherous overlord kill master banish kind   restore honour homeland warrior embark quest challenge series trial destroy ordinary warrior japan suicide samurai base true story revenge samurai sword ronin shogun half breed Drama Action Fantasy,/xDHnmcroujCRG0ysYQaiswjbyHd.jpg
48 Hrs.,1982-12-07,hard nosed cop reluctantly team wise crack criminal temporarily parole order track killer prison san francisco california knife partner revenge convict buddy cop tough cop fake fight dysfunctional relationship Thriller Action Comedy,/phNxblI8gWJxATAGd5G4Nts7GcL.jpg
5 Card Stud,1968-07-28,player ongoing poker game mysteriously kill poker murder cementery cheat card Action Western Thriller,/ow1esWlXoRPijAvR6GZQbv0uv9r.jpg
5 Fingers,1952-02-22,wwii valet british ambassador ankara sell british secret germans try romance refugee polish countess spy world war ii turkey counterfeit money 1940 Drama Thriller,/z1GP088bthMWtdICLbuoQUmhPo5.jpg
5 Headed Shark Attack,2017-07-10,beautiful island home thousand specie aquatic life new specie 5 head shark head tooth shape like demented starfish monster terrorize open ocean invade beach puerto rico endanger peaceful island paradise monster mutant puerto rico shark Horror Science Fiction,/gi2mlvKKpbbXP1DwBUQAc8XGBgP.jpg
50 First Dates,2004-02-13,henry player skilled seduce woman veterinarian meet lucy girl quirky problem come total recall realize possible fall love delightful lucy short term memory henry woo day day finally sweep foot deja vu amnesia hawaii ladykiller veterinarian romantic comedy short term memory loss Comedy Romance,/5NxTW4SS6aUKZYnbQzh7UYNivd.jpg
50/50,2011-09-30,inspire true story comedy center 27 year old guy learn cancer diagnosis subsequent struggle beat disease painter parent child relationship therapist friendship cancer psychologist hospital good friend doctor patient doctor patient relationship vomit chemotherapy Comedy Drama,/aZ3JKeCV4EmprxrbzIDuyb7M7AZ.jpg
52 Pick-Up,1986-11-07,harry mitchell successful los angeles manufacturer wife run city council life turn upside blackmailer confront videotape young mistress demand $ 100000 fear story hurt wife political campaign go police harry pretend pay man follow base novel book infidelity blackmail porn actor murder los angeles california neo noir Crime Drama Thriller,/ru8dtoh6tNi7kKAbLgbaE9J5SGf.jpg
54,1998-08-28,shane jersey boy big dream cross river hope find exciting life studio 54 steve rubell mastermind infamous disco pluck shane sea face clamor inside club shane get foot door land coveted job bar row seat legendary party planet new york city 1970s nightclub bartender money drug disco Drama Music,/7OLxcpW44LMpdDmbotchhfFOeGf.jpg
6 Days,2017-07-09,london england april 1980 terrorist assault embassy iran hostage day tense negotiation hold authority decide military squad intervene london england base true story iran hostage situation hostage negotiator 1980 elite squad england history Action Drama History,/yRbC0uRj1RDmF0JLon83il2dkR0.jpg
633 Squadron,1964-04-06,norwegian resistance leader lieutenant erik bergman report location german v-2 rocket fuel plant royal air force 633 squadron assign mission destroy plant seemingly impregnable location beneath overhanging cliff end long narrow fjord line anti aircraft gun way destroy plant collapse cliff norway air raid norwegian resistance Drama War,/txMMniOYaMcaCJcossuAP9Lw58u.jpg
7 Faces of Dr. Lao,1964-03-18,old chinese man ride town abalone arizona change forever citizen reflect mirror lao mysterious circus mythical beast circus arizona magic yeti medusa railroad chinese man loch ness monster Fantasy Mystery Western,/jvYx8Ra4GnCh7Hpj3i15eo14gib.jpg
8 Heads in a Duffel Bag,1997-04-18,mafia hitman tommy spinelli fly san diego bag hold sever head bring superior prove troublesome rival mobster permanently picture bag get accidentally switch airport tommy track duffel bag 8 head contain mexico vacation murder head Comedy Crime,/nU8O2qyWrpdtMeYYaVNTr5LHmj6.jpg
8 Mile,2002-11-08,jimmy smith jr. life daily fight hope alive feed dream detroit vibrant music scene jimmy wage extraordinary personal struggle find voice earn place world rhyme rule legend bear moment chance individual street gang adolescence rap music hip hop rhyme battle trailer park ghetto rapper ethnic stereotype single detroit michigan battle rap Music Drama,/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg
8 Seconds,1994-02-25,film chronicle life lane frost 1987 prca bull riding world champion marriage friendship tuff hedeman time world champion cody lambert rodeo cowboy bull ride Drama Romance Western,/g2laq5fjdyk7bPBly9lLxxA49JR.jpg
8-Bit Christmas,2021-11-24,suburban chicago late 1980 year old jake doyle embark herculean quest late great video game system christmas holiday video game christmas tree suburban chicago christmas 1980s christmas carol Family Comedy,/5YwaISdOwp8Zu6O7kwBeUn8a7Pu.jpg
84 Charing Cross Road,1987-02-13,humorous script reader new york apartment see ad saturday review literature bookstore london mail order begin special correspondence friendship frank doel bookseller work marks co. 84 charing cross road london england bookshop base play musical base memoir autobiography correspondence 1950 1960 Drama Romance,/l628I1tj1uraYw8idHsBrcdGHAY.jpg
88 Minutes,2007-02-14,college professor moonlight forensic psychiatrist fbi receive death threat claim 88 minute live fbi paranoia manipulation chaos medical examiner murder serial killer torture death lecture death threat crime investigation forensic psychologist college professor Crime Mystery Thriller,/8rMiBz8kLMNmQyMbQXL9MPIlyw.jpg
8MM,1999-02-26,small seemingly innocuous plastic reel film lead surveillance specialist tom welles increasingly dark frightening path help streetwise max relentlessly follow bizarre trail evidence determine fate complete stranger work turn obsession drift far far away wife family simple life small town pi new york city sex shop pornography loss love underground obsession porn actor investigation sadomasochism child pornography private investigator los angeles california subculture miss person snuff film Thriller Crime Mystery,/iNdCT4b8LnWYFueRH0RO5o6f6pk.jpg
9 Deaths of the Ninja,1985-04-15,trio specialized soldier call stop group drug trafficker hijack busload tourist philippines threaten kill companion release jail government stop anti drug policy terrorist hostage exploitation philippine ninja Comedy Action,/2eXzrLX6nWZhHDvVHQjJ2qO2Z2M.jpg
9 Mornings,2002-10-16,death girlfriend gene piolo pascual cynical controlling miser life revolve thing money sex discover inherit grandmother vast fortune spirit soar quickly deflate learn order complete christmas dawn masse simbang gabi pinoy practice abhor donita rose co star philippine Romance,/kMnxQCZLhK5OiuCIy20qP1N2L15.jpg
